"GPStime","peakFreq","snr","amplitude","centralFreq","duration","bandwidth","chisq","chisqDof","confidence","id","ifo","label","imgUrl","Q-value"
1371263012.906,12.481,10.110,1.14e-20,3246.065,3.000,6472.129395,0.000,0.000,1.000,"PPwSkpsxOE","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2023-06-20/1371263012.90625/PPwSkpsxOE.png",22.627
1371259938.156,12.481,10.070,9.03e-21,2765.423,3.500,5510.846680,0.000,0.000,1.000,"AVBeJTvOp8","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2023-06-20/1371259938.15625/AVBeJTvOp8.png",22.627
1389389478.938,11.245,10.813,6.10e-21,3743.126,3.250,7466.251953,0.000,0.000,1.000,"wTqtL8mKj6","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2024-01-15/1389389478.9375/wTqtL8mKj6.png",22.627
1388648310.813,12.435,10.262,4.95e-21,3743.126,2.000,7466.251953,0.000,0.000,1.000,"bu1G41Nify","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2024-01-07/1388648310.8125/bu1G41Nify.png",22.627
1384498634.781,11.715,10.830,5.31e-21,3980.241,5.500,7940.482910,0.000,0.000,1.000,"N28WUE36Iz","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2023-11-20/1384498634.78125/N28WUE36Iz.png",22.627
1388665913.938,12.859,10.319,6.52e-21,3942.868,2.750,7865.735352,0.000,0.000,1.000,"9fiKA5nimR","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2024-01-07/1388665913.9375/9fiKA5nimR.png",22.627
1388326267.406,12.481,10.722,8.47e-21,3810.395,3.247,7600.789551,0.000,0.000,1.000,"YOXjtKWwDV","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2024-01-03/1388326267.40625/YOXjtKWwDV.png",22.627
1387872641.969,11.715,10.544,1.04e-20,3700.979,2.096,7381.958496,0.000,0.000,1.000,"eJPzGMcjS7","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2023-12-29/1387872641.96875/eJPzGMcjS7.png",11.314
1267868017.234,11.940,10.675,2.86e-20,3980.241,5.000,7940.482910,0.000,0.000,1.000,"O0IHwXtDPl","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/BEPufK2fGt/O0IHwXtDPl.png",11.314
1386805845.438,12.435,10.061,9.28e-21,3980.241,5.000,7940.482910,0.000,0.000,1.000,"61hYIbnXvk","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2023-12-16/1386805845.4375/61hYIbnXvk.png",22.627
1389114879.063,12.435,10.516,7.15e-21,3980.241,4.680,7940.482910,0.000,0.000,1.000,"vbYNhHQUIp","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2024-01-12/1389114879.0625/vbYNhHQUIp.png",22.627
1381440282.594,11.715,10.228,4.21e-21,14.458,2.500,8.915390,0.000,0.000,1.000,"MDIVJKj99p","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2023-10-15/1381440282.59375/MDIVJKj99p.png",22.627
1386814512.188,12.025,10.381,9.11e-21,3743.126,2.024,7466.251953,0.000,0.000,1.000,"6s1ezITh64","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2023-12-17/1386814512.1875/6s1ezITh64.png",11.314
1258500839.906,10.609,10.893,4.26e-20,1921.808,3.000,3823.615723,0.000,0.000,1.000,"oPV4VV5pGR","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/mc25oOhxoy/oPV4VV5pGR.png",11.314
1244780283.766,11.940,10.404,4.24e-20,3980.241,3.813,7940.482910,0.000,0.000,1.000,"8E6mNJ2GOQ","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/m1NMQu7MgE/8E6mNJ2GOQ.png",11.314
1259172369.266,11.940,10.281,2.53e-20,3905.845,1.023,7791.690430,0.000,0.000,1.000,"BAi0d4XHvf","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/ovdSjhECdJ/BAi0d4XHvf.png",11.314
1380292779.406,11.715,10.008,3.54e-21,3743.126,2.097,7466.251953,0.000,0.000,1.000,"XG4dgxQrMC","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2023-10-02/1380292779.40625/XG4dgxQrMC.png",22.627
1244995303.781,10.609,10.160,9.06e-20,2781.339,3.500,5542.677734,0.000,0.000,1.000,"rHNYWcjhrB","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/X5KaxzgSi6/rHNYWcjhrB.png",11.314
1386688540.438,12.435,10.477,8.14e-21,3461.249,2.500,6902.498535,0.000,0.000,1.000,"s3U2EMy6bY","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2023-12-15/1386688540.4375/s3U2EMy6bY.png",22.627
1371295004.188,12.435,10.380,1.01e-20,3980.241,5.000,7940.482910,0.000,0.000,1.000,"pUgUwrZRGm","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2023-06-20/1371295004.1875/pUgUwrZRGm.png",22.627
1388995372.063,11.629,10.105,3.63e-21,3980.241,2.868,7940.482910,0.000,0.000,1.000,"LWfC1U95VY","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2024-01-11/1388995372.0625/LWfC1U95VY.png",22.627
1371261610.156,12.481,10.056,9.92e-21,3980.241,3.500,7940.482910,0.000,0.000,1.000,"4n5nMoQVQD","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2023-06-20/1371261610.15625/4n5nMoQVQD.png",11.314
1371391400.891,11.121,10.055,2.86e-20,3520.866,5.031,7021.732910,0.000,0.000,1.000,"3lGBYzJbNK","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2023-06-21/1371391400.890625/3lGBYzJbNK.png",5.657
1260347941.391,11.940,10.179,2.23e-20,1258.243,3.500,2496.485107,0.000,0.000,1.000,"m1GGzE8ew0","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/T0zoL5Q4ui/m1GGzE8ew0.png",11.314
